"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
2,068193363E0;-7,687500477E0;-1,044375038E1;-5,280000305E1;5,436919999E1
2,088189999E0;-7,500000477E0;-1,050000000E1;-5,280000305E1;5,435384374E1
2,108174356E0;-7,443750381E0;-1,068750000E1;-5,268750381E1;5,427342936E1
2,128171141E0;-7,387500286E0;-1,085625076E1;-5,261250305E1;5,422645866E1
2,148167936E0;-7,687500477E0;-1,080000019E1;-5,268750381E1;5,432964868E1
2,168172197E0;-7,500000477E0;-1,104375076E1;-5,280000305E1;5,446149796E1
2,188188766E0;-7,200000286E0;-1,104375076E1;-5,261250305E1;5,423909948E1
2,208185206E0;-7,143750191E0;-1,121250057E1;-5,280000305E1;5,444808223E1
2,228189303E0;-7,143750191E0;-1,140000057E1;-5,255625153E1;5,425083183E1
2,248185906E0;-7,256250381E0;-1,145625019E1;-5,268750381E1;5,440470473E1
2,268182542E0;-7,387500286E0;-1,151250076E1;-5,244375229E1;5,419833935E1
2,288186804E0;-7,200000286E0;-1,151250076E1;-5,250000381E1;5,422755829E1
2,308183434E0;-7,012500286E0;-1,140000057E1;-5,244375229E1;5,412469240E1
2,328180036E0;-6,900000095E0;-1,140000057E1;-5,231250381E1;5,398303502E1
2,348184317E0;-6,712500095E0;-1,134375000E1;-5,268750381E1;5,431124543E1
2,368181116E0;-6,787500381E0;-1,110000038E1;-5,268750381E1;5,427018729E1
2,388185537E0;-6,487500191E0;-1,085625076E1;-5,268750381E1;5,418412035E1
2,408189966E0;-6,243750095E0;-1,068750000E1;-5,274375153E1;5,417665915E1
2,428186607E0;-6,000000000E0;-1,031250000E1;-5,304375076E1;5,436899071E1
2,448190700E0;-5,700000286E0;-9,956250191E0;-5,304375076E1;5,427021666E1
2,468187172E0;-5,287500381E0;-9,787500381E0;-5,315625381E1;5,430782765E1
2,488183664E0;-5,212500095E0;-9,356250763E0;-5,345625305E1;5,451862595E1
2,508187935E0;-5,043750286E0;-9,056250572E0;-5,340000153E1;5,439683129E1
2,528184624E0;-4,800000191E0;-8,643750191E0;-5,340000153E1;5,430759231E1
2,548188890E0;-4,743750095E0;-7,987500191E0;-5,400000381E1;5,479328185E1
2,568193171E0;-4,556250095E0;-7,387500286E0;-5,411250305E1;5,480417468E1
2,588189788E0;-4,387500286E0;-6,656250477E0;-5,411250305E1;5,469660699E1
2,608194035E0;-4,387500286E0;-6,056250095E0;-5,430000305E1;5,481257753E1
2,628190696E0;-4,256250381E0;-5,643750191E0;-5,424375153E1;5,470239632E1
2,648187361E0;-4,200000286E0;-5,100000381E0;-5,411250305E1;5,451433750E1
2,668191627E0;-4,087500095E0;-4,387500286E0;-5,418750381E1;5,451828487E1
2,688188272E0;-3,712500095E0;-3,843750238E0;-5,424375153E1;5,450634507E1
2,708184913E0;-3,712500095E0;-3,543750048E0;-5,400000381E1;5,424335197E1
2,728189189E0;-3,600000143E0;-3,056250095E0;-5,381250381E1;5,401931351E1
2,748185820E0;-3,487500191E0;-2,812500000E0;-5,388750076E1;5,407342741E1
2,768182461E0;-3,243750095E0;-2,287500143E0;-5,381250381E1;5,395868918E1
2,788186737E0;-3,056250095E0;-1,800000072E0;-5,388750076E1;5,400410543E1
2,808183363E0;-2,756250143E0;-1,200000048E0;-5,388750076E1;5,397128545E1
2,828179984E0;-2,700000048E0;-6,562500000E-1;-5,394375229E1;5,401526706E1
2,848184265E0;-2,700000048E0;-5,625000224E-2;-5,394375229E1;5,401130970E1
2,868180891E0;-2,512500048E0;4,875000119E-1;-5,400000381E1;5,406062083E1
2,888185129E0;-2,587500095E0;1,256250024E0;-5,418750381E1;5,426378987E1
2,908189390E0;-2,700000048E0;1,987500072E0;-5,400000381E1;5,410397923E1
2,928186012E0;-2,587500095E0;2,643750191E0;-5,381250381E1;5,393950443E1
2,948190239E0;-2,512500048E0;3,412500143E0;-5,351250076E1;5,368002936E1
2,968186870E0;-2,512500048E0;4,143750191E0;-5,334375381E1;5,356341469E1
2,988183511E0;-2,287500143E0;4,687500000E0;-5,291250229E1;5,316895910E1
3,008187777E0;-2,287500143E0;5,100000381E0;-5,255625153E1;5,285264644E1
3,028184404E0;-2,043750048E0;5,587500095E0;-5,220000076E1;5,253795915E1
3,048188660E0;-1,687500119E0;6,000000000E0;-5,190000153E1;5,227291665E1
3,068192926E0;-1,556250095E0;6,543750286E0;-5,160000229E1;5,203655271E1
3,088189562E0;-1,312500000E0;6,956250191E0;-5,148750305E1;5,197186781E1
3,108193848E0;-1,312500000E0;7,556250095E0;-5,130000305E1;5,187012517E1
3,128190469E0;-1,087500095E0;7,687500477E0;-5,124375153E1;5,182858661E1
3,148187124E0;-9,000000358E-1;8,043750763E0;-5,105625153E1;5,169383664E1
3,168191381E0;-7,125000358E-1;8,400000572E0;-5,118750381E1;5,187704900E1
3,188188012E0;-6,562500000E-1;8,756250381E0;-5,105625153E1;5,180582404E1
3,208185490E0;-5,437500477E-1;9,056250572E0;-5,081250381E1;5,161610100E1
3,228189737E0;-4,125000238E-1;9,412500381E0;-5,075625229E1;5,162327446E1
3,248186374E0;-3,000000119E-1;9,356250763E0;-5,075625229E1;5,161227155E1
3,268182986E0;-2,437500060E-1;9,412500381E0;-5,081250381E1;5,167751079E1
3,288186381E0;-3,000000119E-1;9,656250000E0;-5,100000381E1;5,190697018E1
3,308183012E0;-2,437500060E-1;9,900000572E0;-5,088750076E1;5,184213691E1
3,328179648E0;-3,000000119E-1;9,956250191E0;-5,088750076E1;5,185320291E1
3,348183929E0;-2,437500060E-1;1,008750057E1;-5,088750076E1;5,187826921E1
3,368180593E0;-3,000000119E-1;1,038750076E1;-5,088750076E1;5,193773104E1
3,388184874E0;-4,125000238E-1;1,031250000E1;-5,105625153E1;5,208894923E1
3,408085395E0;-7,125000358E-1;1,020000076E1;-5,100000381E1;5,201488307E1
3,428082017E0;-6,562500000E-1;1,014375019E1;-5,124375153E1;5,224220901E1
3,448086307E0;-4,875000119E-1;1,044375038E1;-5,141250229E1;5,246479743E1
3,468082914E0;-5,437500477E-1;1,038750076E1;-5,165625381E1;5,269311525E1
3,488183320E0;-4,125000238E-1;1,044375038E1;-5,165625381E1;5,270304200E1
3,508187596E0;-3,000000119E-1;1,044375038E1;-5,171250153E1;5,275741404E1
3,528184236E0;-1,125000045E-1;1,008750057E1;-5,165625381E1;5,263210885E1
3,548188483E0;-5,625000224E-2;1,025625038E1;-5,160000229E1;5,260944851E1
3,568192721E0;1,875000000E-1;1,050000000E1;-5,165625381E1;5,271293688E1
3,588189358E0;1,875000000E-1;1,038750076E1;-5,190000153E1;5,292962768E1
3,608216504E0;1,875000000E-1;1,031250000E1;-5,184375381E1;5,285979211E1
3,628213159E0;5,625000224E-2;1,031250000E1;-5,214375305E1;5,315375624E1
3,648209790E0;2,437500060E-1;1,020000076E1;-5,231250381E1;5,329819401E1
3,668214056E0;1,875000000E-1;1,001250076E1;-5,250000381E1;5,344656891E1
3,688187789E0;2,437500060E-1;1,008750057E1;-5,274375153E1;5,370028312E1
3,708184415E0;4,875000119E-1;9,956250191E0;-5,310000229E1;5,402753758E1
3,728188677E0;4,875000119E-1;1,001250076E1;-5,328750229E1;5,422218852E1
3,748185298E0;6,000000238E-1;1,025625038E1;-5,298750305E1;5,397431011E1
3,768189564E0;5,437500477E-1;1,038750076E1;-5,315625381E1;5,416440857E1
3,788193850E0;7,125000358E-1;1,061250019E1;-5,321250153E1;5,426511896E1
3,808190476E0;7,125000358E-1;1,104375076E1;-5,328750229E1;5,442453479E1
3,828194752E0;9,000000358E-1;1,140000057E1;-5,328750229E1;5,450071480E1
3,848191388E0;7,125000358E-1;1,164375019E1;-5,334375381E1;5,460440134E1
3,868188019E0;9,000000358E-1;1,194375038E1;-5,315625381E1;5,448899424E1
3,888192257E0;9,562500119E-1;1,218750095E1;-5,291250229E1;5,430637616E1
3,908188897E0;1,200000048E0;1,200000000E1;-5,285625076E1;5,421460361E1
3,928185529E0;1,256250024E0;1,194375038E1;-5,280000305E1;5,414860718E1
3,948189766E0;1,443750024E0;1,211250019E1;-5,255625153E1;5,395328210E1
3,968186388E0;1,500000000E0;1,181250000E1;-5,268750381E1;5,401627731E1
3,988183029E0;1,612500072E0;1,181250000E1;-5,274375153E1;5,407438060E1
4,008187300E0;1,856250048E0;1,181250000E1;-5,291250229E1;5,424678533E1
4,028183945E0;1,912500024E0;1,164375019E1;-5,304375076E1;5,434035397E1
4,048188197E0;1,987500072E0;1,158750057E1;-5,315625381E1;5,444086375E1
4,068192487E0;2,100000143E0;1,181250000E1;-5,340000153E1;5,473120974E1
4,088189118E0;2,156250000E0;1,194375038E1;-5,340000153E1;5,476187314E1
4,108193389E0;2,156250000E0;1,205625057E1;-5,345625305E1;5,484134920E1
4,128190035E0;1,912500024E0;1,224375057E1;-5,328750229E1;5,470945974E1
4,148186647E0;2,156250000E0;1,241250038E1;-5,298750305E1;5,446462209E1
4,168190884E0;2,156250000E0;1,254375076E1;-5,285625076E1;5,436707038E1
4,188187525E0;2,156250000E0;1,284375095E1;-5,274375153E1;5,432784440E1
4,208184161E0;2,156250000E0;1,338750076E1;-5,255625153E1;5,427738171E1
4,228188422E0;1,912500024E0;1,355625057E1;-5,214375305E1;5,391104310E1
4,248185001E0;2,100000143E0;1,410000038E1;-5,178750229E1;5,371373572E1
4,268189253E0;2,156250000E0;1,434375095E1;-5,135625076E1;5,336531737E1
4,288193524E0;2,400000095E0;1,440000057E1;-5,088750076E1;5,294013365E1
4,308190150E0;2,156250000E0;1,451250076E1;-5,088750076E1;5,296036090E1
4,328186786E0;2,343750000E0;1,494375038E1;-5,058750153E1;5,280060748E1
4,348183417E0;2,343750000E0;1,511250019E1;-5,034375381E1;5,261534352E1
4,368180063E0;2,343750000E0;1,494375038E1;-5,010000229E1;5,233372783E1
4,388184314E0;2,343750000E0;1,488750076E1;-5,015625381E1;5,237156327E1
4,408188600E0;2,100000143E0;1,458750057E1;-5,010000229E1;5,222274794E1
4,428185241E0;2,100000143E0;1,428750038E1;-5,015625381E1;5,219379718E1
4,448189512E0;2,100000143E0;1,445625019E1;-5,034375381E1;5,242028919E1
4,468186162E0;2,100000143E0;1,445625019E1;-5,015625381E1;5,224024279E1
4,488182812E0;1,856250048E0;1,410000038E1;-5,004375076E1;5,202530793E1
4,508187093E0;1,800000072E0;1,398750019E1;-5,010000229E1;5,204709782E1
4,528183743E0;1,612500072E0;1,385625076E1;-4,991250229E1;5,182522288E1
4,548187981E0;1,443750024E0;1,391250038E1;-4,985625076E1;5,178115315E1
4,568192247E0;1,612500072E0;1,368750095E1;-4,985625076E1;5,172614019E1
4,588188845E0;1,687500119E0;1,355625057E1;-4,980000305E1;5,163971234E1
4,608193102E0;1,443750024E0;1,344375038E1;-4,961250305E1;5,142197291E1
4,628189752E0;1,443750024E0;1,314375019E1;-4,944375229E1;5,118131713E1
4,648186393E0;1,200000048E0;1,290000057E1;-4,950000381E1;5,116737625E1
